Index,Score,Std Dev,a,alpha,b,lamb,zeta
352,-2.53956735007685,121.830066933045,0.998554107571013,0.335131898651425,0.998751359482529,1.11007372519613,48.9994932025416
303,-2.51033848311674,147.795603159264,0.994525535626411,0.207870600047915,0.994678084982837,1.00130564155014,43.6246952114762
86,-2.27248785812699,134.25053300984,0.989425867925262,0.666513936312807,0.988265696337416,1.0281544885171,65.3244019724836
285,-2.27230238976659,114.179846662528,0.999276916773392,0.206177433349142,0.98855630027139,1.16215079623905,50.7920895972105
136,-2.24075080761436,178.001806072198,0.988717939006874,0.563400705381599,0.98934679208594,1.06428393952023,58.3440266025264
30,-2.23766917377628,49.8075385012201,0.992314537070259,0.741786967223126,0.987420536851786,1.09443553996439,57.7559580794309
204,-2.18092764523778,78.9799055458754,0.990011878783995,0.698022802507364,0.98554743864527,1.06029762202195,68.367964542581
337,-2.16366705294998,130.92351346588,0.994517355264776,0.212322053826664,0.998471857056966,1.11410621172462,43.5024573979194
88,-2.13951516214235,35.1846070449103,0.991009273217118,0.655143065983801,0.990430650979104,1.00704231709314,61.306327713682
331,-2.13570292045342,73.9870246213001,0.982050614679468,0.290003438267733,0.994868893041875,1.1476284645398,48.677792051234
324,-2.11413116514143,95.8677825775577,0.997572493130856,0.383356333892648,0.996401408180117,1.29883078899999,42.360243413494
277,-2.07075119216155,172.998312866013,0.980714804000441,0.296655912720572,0.993651450462771,1.0115370109735,46.8285273270149
168,-2.05163126133412,65.0967432113398,0.993074039670351,0.75661141189987,0.984657334551141,1.21991227328217,52.2240863849412
371,-2.02212815790506,203.227868788289,0.99712420071349,0.428039177126469,0.99162702150076,1.0235876258112,42.2743980514809
333,-2.01122232267964,124.031836413222,0.983229520825028,0.237126061343081,0.995507663849127,1.08852910673656,41.6052173682067
211,-1.99579022093045,71.3525236720234,0.992520877572991,0.671359460928358,0.991592461657685,1.44959234753835,55.2327281458592
49,-1.98961330758473,64.5944609046022,0.987587703065028,0.5526435723803,0.990018815678,1.21057619102475,44.4025058644024
228,-1.98314784864824,86.3290198014063,0.983508921848617,0.705236729906634,0.986997667829064,1.22470519159558,41.8440287453152
2,-1.94833303739041,199.725131450254,0.986065463997808,0.422637416882159,0.982469293382266,1.02714226919407,49.1047391887581
262,-1.93284943402659,91.9716703217664,0.985851457705608,0.605279231196474,0.989812209405586,1.01329753790618,42.147781765101
51,-1.92369372323516,262.181792964746,0.992952198805351,0.33519795941899,0.981936352498925,1.15956063487454,47.1942834294295
192,-1.90977034828484,174.068161473555,0.997973426558331,0.646430925253733,0.982978819785777,1.08297591549035,67.2370851018401
196,-1.88593105790225,210.191802898176,0.989187224295618,0.660903062474895,0.988963610848411,1.29179402206181,59.3632268054317
300,-1.83448910449494,272.412256426987,0.991736681094364,0.321211266013269,0.995041283975705,1.01265446819803,49.5050416123034
308,-1.8339510113562,271.914926738912,0.993222459907507,0.342588199631885,0.996753965342938,1.03967469863153,46.0897094454357
82,-1.83240384684371,103.995898938002,0.996056377035343,0.542770201279296,0.989424360590951,1.20105120643117,43.6799000584937
355,-1.82703010779901,185.617952895832,0.99251810140007,0.231569679204981,0.990570961416989,1.58308998393984,47.3490901127082
298,-1.82483926405081,128.753744626076,0.991206814425251,0.269278320614034,0.996045842007253,1.14478730263248,45.8343419534429
124,-1.75802211538472,141.2277072443,0.998519469433314,0.410076899630352,0.986570648943123,1.04056189129519,61.746719880111
120,-1.75447303382744,332.873649771798,0.981077319914489,0.745470385179876,0.989780660781664,1.00177398535083,52.5236101517153
394,-1.75271766419098,246.607671158272,0.983201108284949,0.259808535730774,0.982349385454102,1.04379296423846,52.4154994838049
399,-1.74158556790197,300.138790793339,0.980423141118758,0.248477866506827,0.983585988624857,1.10025259066379,53.9102368869812
31,-1.71366408377426,204.830025917026,0.999644070965235,0.728980908751057,0.98406799478884,1.00146605152441,41.8095827568192
23,-1.70545830820181,274.957900523372,0.992836760635661,0.798323769737961,0.989716132306212,1.10956817991336,68.6730369078942
183,-1.70332618641861,247.143931886278,0.994279884434674,0.729999600878483,0.988101008879206,1.04103152671467,63.5376117180499
328,-1.67980789156085,91.2286929600283,0.984827511072906,0.302111872682645,0.998044172714645,1.10075547279753,49.7988921040761
306,-1.66735638658438,199.098995289282,0.989864000357942,0.262579291595887,0.992701016160215,1.07008903955318,47.4662170240281
32,-1.63614180164627,250.235336199021,0.997763167331014,0.682749759519561,0.981796847391066,1.42864282754955,48.305016129433
242,-1.62875677597304,439.265696433379,0.99266686684428,0.618704867248913,0.982852070814093,1.00293102752271,51.7795848438129
227,-1.57748324245946,187.8997694567,0.993820121532625,0.726723009321988,0.983194158009398,1.03151819523734,69.3472722225576
9,-1.57561804842935,238.598162274606,0.98855961177042,0.212772891832618,0.980275130941246,1.29200822828175,46.2175291355971
108,-1.57093071588374,248.766346044694,0.993462265223239,0.556457672354946,0.98631576303104,1.16502839660177,60.4902136033536
229,-1.52745595977092,169.006253056575,0.99675331580731,0.233586839950793,0.989227597295703,1.12569044236763,47.6498448101175
370,-1.51404486913946,447.90569945931,0.99538625906183,0.495362522953332,0.996813218772385,1.05292120896731,45.1749582143533
137,-1.50633958909443,430.296463536402,0.992466870998151,0.374232079255506,0.989932806629569,1.01012839097541,57.1916594272064
58,-1.49498038202501,236.413682092644,0.996303064122588,0.647305040645328,0.984596279387993,1.384588284785,44.4785247183233
207,-1.48781363909388,165.081342540615,0.985001423520377,0.641969483054711,0.983659465193334,1.23520750349806,58.8024159238729
60,-1.48151962100185,490.282582795586,0.998603102234949,0.692446277248,0.987862334228592,1.17344928034464,59.79346276908
294,-1.47910376278924,271.274966601861,0.980249123294847,0.200486922766452,0.987872537744359,1.11901260267117,43.6626344319801
210,-1.47863566139899,310.237807478375,0.995290390442038,0.468724888245993,0.986981807815413,1.16921659889218,63.0170660365316
317,-1.47503278612499,285.986434019469,0.995043850194976,0.232447401184342,0.999067212393168,1.05087794309159,48.912809324551
323,-1.46732921378289,587.774763293657,0.995568319572328,0.24424511644855,0.997645168813642,1.01170211643158,47.1276542117604
359,-1.44921129330281,437.659036549732,0.985391715937583,0.213601263602926,0.998335173631149,1.22455509149629,41.2460182194338
240,-1.44100178068026,139.606654676656,0.99349546586447,0.528312997228359,0.983494749407266,1.17583116702413,59.406702897993
256,-1.43754353821952,264.620953120181,0.99767103067123,0.665013779543985,0.985487561659861,1.27894440636618,54.7668186672268
132,-1.42819309532792,418.164388732831,0.98982770820174,0.544036801127625,0.986812768760562,1.17496119363276,54.4774725713777
170,-1.41845265620623,393.986340445037,0.988082536607272,0.795586648207084,0.986090069126737,1.09394231148186,40.0241696810165
393,-1.41507955367666,526.583639254382,0.982448261048835,0.237430350850369,0.980948546771669,1.0273048737373,50.7248282241896
76,-1.41080760520806,503.38459939492,0.991848656230506,0.628172198220261,0.990692426313172,1.14105577651506,44.0737396041925
373,-1.40322224334598,380.801827141259,0.981532760935748,0.340987846634065,0.987387206361824,1.06631860302688,43.1059033556241
186,-1.39572941575776,155.369874440446,0.993272086604339,0.708753563039846,0.993028939206023,1.12977653618581,50.0992168206583
104,-1.38341901734171,260.282501320476,0.99740582122055,0.798884830222583,0.989779899633931,1.22360510768745,64.6274718028514
70,-1.37645318355955,424.745097201384,0.993218871967269,0.424889139284083,0.985343640186199,1.08719104945303,51.9238092423385
34,-1.37560769848585,364.939411703696,0.993130097773385,0.577751231786479,0.990843168222046,1.2425200760353,55.8009967170444
152,-1.37265824939273,437.350555140979,0.996974739944568,0.693928088128198,0.986909154824238,1.05181734680001,43.88685296545
264,-1.36871123047142,483.695941228048,0.984564919359793,0.414182170811608,0.98672595028328,1.04955451843838,45.1423987783715
125,-1.36480857641474,549.36802664898,0.982438641540631,0.578602708891678,0.989103135106114,1.35117143768622,56.5662015854197
398,-1.3448569534417,272.654385398006,0.983880419569839,0.352394622931239,0.984389423220756,1.05459296977994,54.6049590429412
50,-1.34138501362863,436.706798486889,0.995494024634957,0.506249023145009,0.987254335328302,1.02523334467559,41.9001137246697
248,-1.33520643971912,414.200829691609,0.995429610475242,0.644389094839217,0.984747007396891,1.20000830335606,64.481803766331
271,-1.32697018635873,696.26917928875,0.984743394345287,0.473741612149212,0.988935125817085,1.03883828739935,43.287779549957
307,-1.32220057916743,413.548118737536,0.99213489059377,0.292007431465752,0.997170206701526,1.21374571229559,40.066901550537
329,-1.31883195803375,315.223777202986,0.994295916123486,0.323761946966973,0.998767097398966,1.04328060011502,45.415496748006
305,-1.31646613002991,312.685040287205,0.992448822305482,0.308852988391611,0.993722227088747,1.05695296435775,46.9302833640822
220,-1.31332705234973,354.903086356619,0.980431693974462,0.591279336245512,0.982318713124712,1.56500617203061,66.3456538034233
260,-1.30294291448662,526.090453362172,0.98131003327244,0.395936421352027,0.987834176196459,1.03367307072115,40.6776722550145
159,-1.29419575925544,354.038412310029,0.996652312899008,0.522322388135848,0.985677423660321,1.16087994577376,48.3055614845796
185,-1.29218621609596,320.808807588353,0.992076488454324,0.766125380344576,0.987176333380961,1.07034374378417,51.4718388764527
299,-1.28441382570742,339.019114815918,0.992814866612999,0.218240381831088,0.992927194551708,1.11032752217514,44.4724377360805
119,-1.28017990324002,779.057757854476,0.983513871248975,0.761607803314888,0.984330270551321,1.05712222693582,57.4879196553795
380,-1.27799979430149,416.417927118204,0.980006723229688,0.310891768322411,0.981189655616333,1.11680794920039,50.459686923144
101,-1.25170167057048,425.681402857618,0.998068272212823,0.572077989201441,0.988233059173153,1.46332996902704,55.7055403627154
65,-1.24843408630304,396.014540741339,0.997026387597785,0.584580833195255,0.980094037738477,1.06139695949383,51.1698609678778
77,-1.23872733395538,280.823997772873,0.9901783765258,0.641748785876061,0.98685571950788,1.01393258958113,48.9813152346311
224,-1.22732771285718,274.631649280807,0.996024155374327,0.763990711890011,0.984437279216446,1.31605662061418,62.0993976194305
10,-1.21660936319355,380.798168311328,0.981888437935999,0.599181787775698,0.981976317431977,1.21951899640588,47.4137161202754
309,-1.21246860100445,1037.76991571247,0.988483308348022,0.22312670911346,0.991922606937943,1.08417647793099,42.7830590520042
